running build
running build_ext
meminfo malloc_new 11a23b0
meminfo malloc_new 11f2060
meminfo malloc_new 126a440
meminfo malloc_new 1196f80
meminfo free 126a440
meminfo malloc_new 126a440
meminfo free 1196f80
meminfo malloc_new 1196f80
meminfo free 126a440
meminfo malloc_new 126a440
meminfo free 1196f80
meminfo malloc_new 1196f80
meminfo free 126a440
meminfo malloc_new 126a440
meminfo free 1196f80
meminfo malloc_new 1196f80
meminfo free 126a440
meminfo malloc_new 126a440
meminfo free 1196f80
meminfo malloc_new 1196f80
meminfo free 126a440
meminfo malloc_new 126a440
meminfo free 1196f80
meminfo malloc_new 1196f80
meminfo free 126a440
meminfo malloc_new 126a440
meminfo free 1196f80
meminfo malloc_new 1196f80
meminfo free 126a440
meminfo malloc_new 126a440
meminfo free 1196f80
meminfo malloc_new 1196f80
meminfo free 126a440
meminfo malloc_new 126a440
meminfo free 1196f80
meminfo malloc_new 1196f80
meminfo free 126a440
meminfo malloc_new 126a440
meminfo free 1196f80
meminfo malloc_new 1196f80
meminfo free 126a440
meminfo malloc_new 126a440
meminfo free 1196f80
meminfo malloc_new 1196f80
meminfo free 126a440
meminfo malloc_new 126a440
meminfo free 1196f80
meminfo malloc_new 1196f80
meminfo free 126a440
meminfo malloc_new 126a440
meminfo free 1196f80
meminfo malloc_new 1196f80
meminfo free 126a440
meminfo malloc_new 126a440
meminfo free 1196f80
meminfo malloc_new 1196f80
meminfo free 126a440
meminfo malloc_new 126a440
meminfo free 1196f80
meminfo malloc_new 1196f80
meminfo free 126a440
meminfo malloc_new 126a440
meminfo free 1196f80
meminfo malloc_new 1196f80
meminfo free 126a440
meminfo malloc_copy 126a440
meminfo malloc_new 12b1400
meminfo malloc_new 11fcc50
meminfo free 12b1400
meminfo malloc_new 12b1400
meminfo free 11fcc50
meminfo malloc_new 12b2b70
meminfo free 12b1400
meminfo malloc_new 12b1400
meminfo free 12b2b70
meminfo malloc_new 1260260
meminfo free 12b1400
meminfo malloc_new 12b1400
meminfo free 1260260
meminfo malloc_new 11fcc50
meminfo free 12b1400
meminfo malloc_new 12b1400
meminfo free 11fcc50
meminfo malloc_new 12b2b70
meminfo free 12b1400
meminfo malloc_new 12b1400
meminfo free 12b2b70
meminfo malloc_new 1260260
meminfo free 12b1400
meminfo malloc_new 12b1400
meminfo free 1260260
meminfo malloc_new 11fcc50
meminfo free 12b1400
meminfo malloc_new 12b1400
meminfo free 11fcc50
meminfo malloc_new 12b2b70
meminfo free 12b1400
